date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:48	97188/97188	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Mar%202017%2016:26:28%20GMT	http://wordpressboss.com/pc/spider-demo/assets/images/portfolio/5.jpg	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/images/portfolio/5.jpg	(from http://wordpressboss.com/pc/spider-demo/)
18:01:50	36868/36868	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:26:16%20GMT	http://wordpressboss.com/pc/spider-demo/assets/bootstrap/js/bootstrap.min.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/bootstrap/js/bootstrap.min.js	(from http://wordpressboss.com/pc/spider-demo/)
18:01:51	85578/85578	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:25:18%20GMT	http://wordpressboss.com/pc/spider-demo/assets/js/jquery.min.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/js/jquery.min.js	(from http://wordpressboss.com/pc/spider-demo/)
18:01:52	14916/14916	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:26:40%20GMT	http://wordpressboss.com/pc/spider-demo/assets/owlcarousel/js/owl.carousel.min.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/owlcarousel/js/owl.carousel.min.js	(from http://wordpressboss.com/pc/spider-demo/)
18:01:52	191903/191903	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Mar%202017%2016:26:28%20GMT	http://wordpressboss.com/pc/spider-demo/assets/images/portfolio/4.jpg	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/images/portfolio/4.jpg	(from http://wordpressboss.com/pc/spider-demo/)
18:01:56	21651/21651	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:25:23%20GMT	http://wordpressboss.com/pc/spider-demo/assets/js/SmoothScroll.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/js/SmoothScroll.js	(from http://wordpressboss.com/pc/spider-demo/)
18:01:58	12636/12636	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:25:19%20GMT	http://wordpressboss.com/pc/spider-demo/assets/js/jquery.stellar.min.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/js/jquery.stellar.min.js	(from http://wordpressboss.com/pc/spider-demo/)
18:01:58	1071/1071	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:25:16%20GMT	http://wordpressboss.com/pc/spider-demo/assets/js/jquery.counterup.min.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/js/jquery.counterup.min.js	(from http://wordpressboss.com/pc/spider-demo/)
18:02:00	20221/20221	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:25:17%20GMT	http://wordpressboss.com/pc/spider-demo/assets/js/jquery.magnific-popup.min.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/js/jquery.magnific-popup.min.js	(from http://wordpressboss.com/pc/spider-demo/)
18:02:00	50986/50986	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:25:19%20GMT	http://wordpressboss.com/pc/spider-demo/assets/js/jquery.mixitup.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/js/jquery.mixitup.js	(from http://wordpressboss.com/pc/spider-demo/)
